百寿路7号,2室1厅,70.8平米,西,简装,高楼层(共7层)1997年建板楼,石人小区,77,单价10876元/平米
驿都城,3室2厅,84.31平米,东,精装,中楼层(共32层)2016年建板塔结合,龙泉驿城区,122,单价14471元/平米
千和茗居,2室2厅,83.98平米,东北,简装,中楼层(共6层)2003年建板楼,茶店子,125,单价14885元/平米
电建地产美立方,2室1厅,59.23平米,东 南,简装,中楼层(共34层)塔楼,理工大,86,单价14520元/平米
流星花园,1室0厅,40.25平米,南,简装,中楼层(共16层)2003年建板楼,合江亭,81,单价20125元/平米
翰林上岛,3室2厅,88.99平米,西南,精装,低楼层(共16层)2008年建塔楼,航空港,110,单价12361元/平米
林溪美城,3室1厅,88.58平米,东南,精装,低楼层(共18层)2016年建板塔结合,阳光城,98,单价11064元/平米
元益花园,2室1厅,77.8平米,东,精装,中楼层(共21层)2014年建板楼,外光华,126,单价16196元/平米
石人正街31号,2室1厅,62.99平米,南,精装,中楼层(共7层)1997年建板楼,府南新区,83,单价13177元/平米
锦江城市花园三期,2室2厅,54.43平米,东南,精装,中楼层(共34层)2011年建板塔结合,三圣乡,94,单价17270元/平米
中粮祥云二期,2室1厅,87.19平米,西南,简装,中楼层(共17层)2014年建板楼,武侯立交,185,单价21219元/平米
世茂城一期,2室2厅,82.99平米,南,简装,低楼层(共29层)2012年建板楼,大面,107,单价12894元/平米
华府金沙,4室2厅,191平米,西南,精装,中楼层(共32层)2008年建塔楼,金沙,450,单价23561元/平米
华润橡树湾B区,3室1厅,62平米,西北,精装,低楼层(共34层)2013年建板塔结合,橡树湾,107,单价17259元/平米
长城锦苑,1室1厅,44.2平米,东,简装,低楼层(共30层)2007年建板塔结合,红星路,73,单价16516元/平米
龙城国际,2室1厅,79平米,东,简装,中楼层(共33层)2013年建板塔结合,橡树湾,105,单价13292元/平米
格林城,2室2厅,71.94平米,东南,精装,高楼层(共25层)2017年建板塔结合,双流城区,110,单价15291元/平米
龙湖九里晴川,3室2厅,90.8平米,东 西,精装,高楼层(共31层)2018年建板塔结合,广都,210,单价23128元/平米
七彩花都B区二期,2室1厅,90.15平米,东北,精装,低楼层(共18层)2013年建板楼,花都大道,87.5,单价9707元/平米
阳光小筑二期,2室1厅,64.63平米,西 西北,简装,中楼层(共18层)2009年建塔楼,红光,55,单价8510元/平米
泡桐树街7号,1室1厅,47.6平米,东南,简装,高楼层(共7层)板楼,宽窄巷子,182,单价38236元/平米
金河谷五期,3室1厅,89平米,东南,精装,高楼层(共34层)2016年建板塔结合,光华大道沿线,120,单价13484元/平米
双楠尚品广场,2室2厅,84.68平米,西南,精装,中楼层(共16层)2014年建板塔结合,新双楠,168,单价19840元/平米
花样年花样城,3室1厅,88.96平米,南,毛坯,高楼层(共33层)板塔结合,温江大学城,78,单价8768元/平米
万辰乐居,2室1厅,73平米,南,毛坯,高楼层(共6层)2016年建板楼,新津,58,单价7946元/平米
派克公馆,2室2厅,85.96平米,东南,精装,中楼层(共12层)2011年建板塔结合,成外,115,单价13379元/平米
南城都汇汇雅园二期,2室1厅,87.62平米,南,精装,中楼层(共18层)2011年建板塔结合,市一医院,178,单价20315元/平米
博瑞都市花园,2室1厅,92.92平米,东,精装,高楼层(共6层)2003年建板楼,优品道,203,单价21847元/平米
时代凯悦,1室0厅,38.99平米,东,简装,中楼层(共40层)2006年建板塔结合,八宝街,69,单价17697元/平米
华府双楠,2室1厅,80.84平米,西南 西,精装,中楼层(共16层)2013年建塔楼,外双楠,153,单价18927元/平米
时代印象,1室0厅,50.21平米,北,简装,高楼层(共14层)2005年建板塔结合,草市街,65,单价12946元/平米
南桥春天,2室1厅,67平米,南,简装,高楼层(共18层)2010年建板塔结合,中和,115,单价17165元/平米
棕北国际,1室0厅,36平米,东,简装,中楼层(共19层)2005年建塔楼,棕北,69,单价19167元/平米
金茂光明城市,3室2厅,88.33平米,南,简装,低楼层(共33层)2016年建板塔结合,华阳,163,单价18454元/平米
乐天圣苑,3室2厅,87.78平米,东南,精装,中楼层(共33层)2017年建塔楼,东大路,298,单价33949元/平米
和贵久居福,2室2厅,83.94平米,北,精装,高楼层(共15层)2008年建板塔结合,航空港,89,单价10603元/平米
四季映像,2室1厅,59.85平米,东,毛坯,高楼层(共34层)2012年建板塔结合,大面,80,单价13367元/平米
香榭国际,2室2厅,69.87平米,北,精装,中楼层(共27层)2012年建塔楼,中和,138,单价19751元/平米
花样年花样城五期,3室2厅,90.4平米,东南,精装,低楼层(共33层)塔楼,温江大学城,84.5,单价9348元/平米
上锦美地,2室2厅,87.15平米,西南,简装,高楼层(共41层)2009年建板塔结合,红星路,153,单价17556元/平米
锦城名都,3室1厅,111.98平米,东北,精装,中楼层(共33层)2009年建板塔结合,营门口,212,单价18932元/平米
银沙新居,3室2厅,130.68平米,南,简装,高楼层(共6层)2001年建板楼,营门口,145,单价11096元/平米
翠蝶湾,2室1厅,52.16平米,西南,精装,高楼层(共17层)板塔结合,毗河,75,单价14379元/平米
仁和春天国际花园,3室2厅,145.22平米,东南,简装,高楼层(共31层)2014年建板楼,金融城,445,单价30644元/平米
远洋朗郡,3室1厅,91.2平米,东南,精装,中楼层(共17层)2012年建板楼,高家庄,150,单价16448元/平米
欧苑,1室2厅,44.83平米,西南,精装,低楼层(共18层)2011年建板楼,万家湾,57,单价12715元/平米
兴元绿洲一期,1室1厅,41.55平米,西南,简装,低楼层(共22层)2007年建塔楼,金府,46,单价11071元/平米
蓝光COCO金沙三期,3室1厅,73.62平米,东南,毛坯,中楼层(共23层)2015年建板塔结合,外金沙,130,单价17659元/平米
建发浅水湾,,,,,3层2012年建板楼,锦江生态带,870,单价16426元/平米
蓝光香瑞湖,3室2厅,106.23平米,西,精装,低楼层(共17层)2009年建板楼,光华大道沿线,135,单价12709元/平米
阳光100米娅中心一期,2室2厅,76.91平米,北,精装,低楼层(共29层)2012年建板塔结合,万年场,131.5,单价17098元/平米
安居苑(金牛),3室1厅,77.41平米,东南,简装,中楼层(共7层)1998年建板楼,石人小区,74,单价9560元/平米
优派立方,3室1厅,90.25平米,西,毛坯,高楼层(共34层)2017年建板塔结合,郫县万达,78,单价8643元/平米
泰合新光华府,3室1厅,99.87平米,东南,精装,高楼层(共30层)2015年建板塔结合,温江新城,126,单价12617元/平米
鹭岛国际三期,2室1厅,78.6平米,北,精装,中楼层(共11层)2010年建板塔结合,外双楠,166,单价21120元/平米
俊发星雅俊园,3室1厅,106.45平米,西北,精装,中楼层(共33层)2015年建板塔结合,三圣乡,235,单价22077元/平米
